term,definition,type,occurrences
hgrtn,"Heliocentric Radial Tangential Normalcoordinate system (aka RTN). Typically centered at a spacecraft. Used forIMF and plasma V vectors. The X axis (radial) is set as the primary axis,and is defined as the axis pointing from the spacecraft to the Sun. The Zaxis (tangential) is set as the secondary axis, and is defined as thatportion of the solar North rotational axis which is perpendicular to theprimary axis. The Y axis (normal) is defined as Z cross X.",SPASE Dictionary.json,2
high,The largest value within a range of possiblevalues.,SPASE Dictionary.json,2
horizontal,Parallel to or in the plane of the horizon ora base line.,SPASE Dictionary.json,2
i,"Projection of a vector along the first namedaxis of a coordinate system. Typically the X axis, but could be the R axisfor an RTN coordinate system.",SPASE Dictionary.json,2
image intensity,"Measurements of the two-dimensionaldistribution of the intensity of photons from some region or object such asthe Sun or the polar auroral regions; can be in any wavelength band, andpolarized, etc.",SPASE Dictionary.json,2
infrared,Photons with a wavelength range: 760 to1.00x10^6 nm,SPASE Dictionary.json,2
instrument status,A quantity directly related to the operationor function of an instrument.,SPASE Dictionary.json,2
integral,A flux measurement in a broad range of energyand solid angle.,SPASE Dictionary.json,2
interior,The region inside the body which is notvisible from outside the body.,SPASE Dictionary.json,2
interstellar,The region between stars outside of thestar's heliopause.,SPASE Dictionary.json,2
k,"Projection of a vector along the third namedaxis of a coordinate system. Typically the Z axis, but could be the N axisfor an RTN coordinate system.",SPASE Dictionary.json,2
k7699,A spectrum with a wavelength range centred at769.9 nm. VSO nickname: K-7699 dopplergram with a range of 769.8 nm to 770.0nm.,SPASE Dictionary.json,2
lgm,"Local Geomagnetic - A coordinate system usedmainly for Earth surface or near Earth surface magnetic field data. X axisnorthward from observation point in a geographic meridian. Z axis downwardtowards Earth's center. In this system, H (total horizontal component) =SQRT (Bx^2 + By^2) and D (declination angle) = arctan (By/Bx)",SPASE Dictionary.json,2
linear,Polarization where the E-field vector isconfined to a given plane,SPASE Dictionary.json,2
line depth,The measure of the amount of absorption belowthe continuum (depth) in a particular wavelength or frequency in anabsorption spectrum.,SPASE Dictionary.json,2
low,The smallest value within a range of possiblevalues.,SPASE Dictionary.json,2
mag,"Geomagnetic - geocentric. Z axis is parallelto the geomagnetic dipole axis, positive north. X is in the plane defined bythe Z axis and the Earth's rotation axis. If N is a unit vector from theEarth's center to the north geographic pole, the signs of the X and Y axesare given by Y = N x Z, X = Y x Z.. See Russell, 1971, and<http://cdpp.cnes.fr/00428.pdf>",SPASE Dictionary.json,2
magnetic moment,"A constant of motion related to thegyromotion of a particle in a magnetic field that is either static or slowlyvarying with respect to the gyroperiod. The magnetic moment is usuallydenoted by using the lower case Greek letter for mu, 5, and can becalculated by using 5 = m u^2/2B where m is the particle mass, u is thevelocity of the particle perpendicular to the constant or average magneticfield direction, and B is the magnitude of the magnetic field strength.",SPASE Dictionary.json,2
magnetograph,"A special type of magnetometer that records atime plot of the local magnetic field near the instrument; or a telescopecapable of determining the magnetic field strength and/or direction on adistant object such as the Sun, using the Zeeman splitting or other spectralsignatures of magnetization.",SPASE Dictionary.json,2
magnitude,A measure of the strength of a vectorquantity or length of its representational vector.,SPASE Dictionary.json,2
mass density,The mass of particles per unit volume.,SPASE Dictionary.json,2
measurement type,A characterization of the quantitativeassessment of a phenomenon.,SPASE Dictionary.json,2
median,The measure of central tendency of a set ofn. values computed by ordering the values and taking the value at position(n. + 1) / 2 when n. is odd or the arithmetic mean of the values atpositions n. / 2 and (n. / 2) + 1 when n. is even.,SPASE Dictionary.json,2
metadata contact,An individual who can affect a change in themetadata describing a resource.,SPASE Dictionary.json,2
mfa,"Magnetic Field Aligned - A coordinate systemspacecraft-centered system with Z in the direction of the ambient magneticfield vector. X is in the plane defined by Z and the spacecraft-Sun line,positive sunward. See <http://cdpp.cnes.fr/00428.pdf>",SPASE Dictionary.json,2
mhd,Hydrodynamic waves in a magnetized plasma inwhich the background magnetic field plays a key role in controlling the wavepropagation characteristics.,SPASE Dictionary.json,2
microwave,Photons with a wavelength range: 1.00x10^6 to1.50x10^7 nm,SPASE Dictionary.json,2
mode amplitude,In helioseismology the magnitude ofoscillation of waves of a particular geometry.,SPASE Dictionary.json,2
moment,Parameters determined by integration over adistribution function convolved with a power of velocity.,SPASE Dictionary.json,2
moon,The only natural satellite of the Earth.,SPASE Dictionary.json,2
name,A language unit by which a person or thing isknown.,SPASE Dictionary.json,2
neutral atom images,Measurements of neutral atom fluxes as afunction of look direction; often related to remote energetic chargedparticles that lose their charge through charge-exchange and then reach thedetector on a line-of-sight trajectory.,SPASE Dictionary.json,2
ni6768,A spectrum with a wavelength range centeredat 676.8 nm. VSO nickname: Ni-6768 dopplergram with a range of of 676.7 nmto 676.9 nm.,SPASE Dictionary.json,2
number flux,"The number of particles passing a unit areain unit time, possibly also per unit energy (or equivalent) and/or per unitlook direction.",SPASE Dictionary.json,2
open,Access is granted to everyone.,SPASE Dictionary.json,2
parallel,Having the same direction as a givendirection,SPASE Dictionary.json,2
particle,A description of the types of particlesobserved in the measurement. This includes both direct observations andinferred observations.,SPASE Dictionary.json,2
particle type,A characterization of the kind of particleobserved by the measurement.,SPASE Dictionary.json,2
part of,A portion of a larger resource.,SPASE Dictionary.json,2
passive,Movement or effect produced by outsideinfluence. A passive measurement is one which does not produce atransmission or excitation as a part of the measurement cycle.,SPASE Dictionary.json,2
pdf,A document expressed in the Portable DocumentFormat (PDF) as defined by Adobe.,SPASE Dictionary.json,2
peak,"The maximum value for the quantity inquestion, over a period of time which is usually equal to the cadence.",SPASE Dictionary.json,2
perpendicular,At right angles to a given direction.,SPASE Dictionary.json,2
person,An individual human being.,SPASE Dictionary.json,2
perturbation,Variations in the state of a system.,SPASE Dictionary.json,2
phase angle,"Phase difference between two or more waves,normally expressed in degrees.",SPASE Dictionary.json,2
phase space density,The number of particles per unit volume inthe six-dimensional space of position and velocity.,SPASE Dictionary.json,2
photon,"Electromagnetic waves detected by techniquesthat utilize their corpuscular character (e.g., CCD, CMOS,photomultipliers).",SPASE Dictionary.json,2
plasmagram,The characterization of signal strengths inactive sounding measurements as a function of virtual range or signal delaytime and sounding frequency. A Plasmagram is also referred to as anIonogram.,SPASE Dictionary.json,2
platform,"A collection of components which can bepositioned and oriented as a single unit. A platform may contain otherplatforms. For example, a spacecraft is a platform which may have componentsthat can be articulated and are also considered platforms.",SPASE Dictionary.json,2
pluto,The ninth (sub)planet from the sun in oursolar system.,SPASE Dictionary.json,2
polar angle,"The angle between the position or measuredvector and the k-axis of the coordinate system. Mathematically defined asarctan([SQRT(i^2+j^2)]/k). This term could be also applied to angles betweenthe vector and other components, for example the IMF cone angle defined asarccos(Bx/Bt).",SPASE Dictionary.json,2
polar cap,The areas of the globe surrounding the polesand consisting of the region north of 60 degrees north latitude an theregion south of 60 degrees south latitude.,SPASE Dictionary.json,2
policy,"A deliberate system of principles to guidedecisions and achieve rational outcomes. A policy is a statement of intent,and is implemented as a procedure or protocol.",SPASE Dictionary.json,2
potential,"The work required per unit charge to move acharge from a reference point to a point at infinity (electric potential isdefined to be zero). The electric potential of a spacecraft is oftenreferred to as the ""spacecraft potential"". The spacecraft potential is theelectric potential of the spacecraft relative to the potential of the nearbyplasma. The spacecraft potential is non-zero because the spacecraft chargesto the level that the emitted photoelectron flux going to infinity isbalanced by the plasma electron flux to the spacecraft.",SPASE Dictionary.json,2
poynting flux,Electromagnetic energy flux transported by awave characterized as the rate of energy transport per unit area persteradian.,SPASE Dictionary.json,2
principal investigator,An individual who is the administrative andscientific lead for an investigation.,SPASE Dictionary.json,2
project,The name of an organized activity with astated goal or objective.,SPASE Dictionary.json,2
project scientist,An individual who is an expert in thephenomenon and related physics explored by the project. A project scientistmay also have a managerial role within the project.,SPASE Dictionary.json,2
propagation time,Time difference between transmission andreception of a wave in an active wave experiment.,SPASE Dictionary.json,2
quantity,A value that describes a characteristic of asystem.,SPASE Dictionary.json,2
registry,A location or facility where resources arecataloged.,SPASE Dictionary.json,2
report,A document which describes the findings ofsome individual or group.,SPASE Dictionary.json,2
repository,A location or facility where resources arestored.,SPASE Dictionary.json,2
role,The assigned or assumed function or positionof an individual.,SPASE Dictionary.json,2
rtn,"Radial Tangential Normal. Typically centeredat a spacecraft. Used for IMF and plasma V vectors. The X axis (radial) isset as the primary axis, and is defined as the axis pointing from thespacecraft to the Sun. The Z axis (tangential) is set as the secondary axis,and is defined as that portion of the solar North rotational axis which isperpendicular to the primary axis. The Y axis (normal) is defined as Z crossX.",SPASE Dictionary.json,2
sc,Spacecraft - A coordinate system defined bythe spacecraft geometry and/or spin. Often has Z axis parallel to spacecraftspin vector. X and Y axes may or may not corotate with the spacecraft. SeeSR and SR2 below.,SPASE Dictionary.json,2
scalar,A quantity that is completely specified byits magnitude and has no direction.,SPASE Dictionary.json,2
scientist,An individual who is an expert in thephenomenon and related physics represented by the resource.,SPASE Dictionary.json,2
search,A web search interface that requiresadditional input.,SPASE Dictionary.json,2
set,A collection of items for a particularpurpose.,SPASE Dictionary.json,2
sm,"Solar Magnetic - A geocentric coordinatesystem where the Z axis is northward along Earth's dipole axis, X axis is inplane of z axis and Earth-Sun line, positive sunward. See Russell, 1971.",SPASE Dictionary.json,2
solid angle,Integration over the angle inthree-dimensional space that an object subtends at a point.,SPASE Dictionary.json,2
sonic mach number,The ratio of the bulk flow speed to the speedof sound in the medium.,SPASE Dictionary.json,2
source,The location and attributes of an object.,SPASE Dictionary.json,2
south atlantic anomaly region,"The region where the Earth's inner van Allenradiation belt makes its closest approach to the planet's surface. Theresult is that, for a given altitude, the radiation intensity is higher overthis region than elsewhere.",SPASE Dictionary.json,2
spacecraft orbit plane,"A coordinate system where X lies in the planenormal to and in the direction of motion of the spacecraft, Z is normal tothis plane and Y completes the triad in a right-handed coordinate system.",SPASE Dictionary.json,2
spectral,Characterized as a range or continuum offrequencies.,SPASE Dictionary.json,2
spectrogram,The characterization of signal strengths as afunction of frequency (or energy) and time.,SPASE Dictionary.json,2
spherical,"A coordinate representation of a positionvector or of a measured vector by its magnitude and two direction angles.The angles are relative to the base axes of the coordinate system used.Typically the angles are phi [azimuth angle, =arctan (j/i)] and theta, wheretheta may be a polar angle, arctan {[SQRT(i^2+j^2)]/k}, or an elevationangle, arctan [k/SQRT (i^2+j^2)].",SPASE Dictionary.json,2
sr,Spin Reference - A special case of aSpacecraft (SC) coordinate system for a spinning spacecraft. Z is parallelto the spacecraft spin vector. X and Y rotate with the spacecraft. See<http://cdpp.cnes.fr/00428.pdf>,SPASE Dictionary.json,2
sr2,"Spin Reference 2 - A special case of aSpacecraft (SC) coordinate system for a spinning spacecraft. Z is parallelto the spacecraft spin vector. X is in the plane defined by Z and thespacecraft-Sun line, positive sunward. See<http://cdpp.cnes.fr/00428.pdf>",SPASE Dictionary.json,2
sse,"Spacecraft Solar Ecliptic - A coordinatesystem used for deep space spacecraft, for example Helios. - X axis fromspacecraft to Sun. Z axis normal to ecliptic plane, positive northward.Note: Angle between normals to ecliptic and to Helios orbit plane ~ 0.25deg.",SPASE Dictionary.json,2
stack plot,"A representation of data showing multiplesets of observations on a single plot, possibly offsetting each plot by someuniform amount.",SPASE Dictionary.json,2
standard deviation,The square root of the average of the squaresof deviations about the mean of a set of data. Standard deviation is astatistical measure of spread or variability.,SPASE Dictionary.json,2
storage,"The component of your computer that allowsyou to store and access data on a long-term basis. Indicate units withstandard byte scales such as KB, MB, GB, TB and PB.",SPASE Dictionary.json,2
stream interaction region,"The region (SIR) where two solar windstreams, typically having differing characteristics and solar sources, abutup against (and possibly partially interpenetrate) each other.",SPASE Dictionary.json,2
strong,Highly likely given the available evidence.Considered in the range of 7-10 on a scale of 0-10.,SPASE Dictionary.json,2
structure,The organization and relationship ofindividual values within a quantity.,SPASE Dictionary.json,2
surface,The outermost area of a solid object.,SPASE Dictionary.json,2
symmetric,Equal distribution about one or more axes.,SPASE Dictionary.json,2
team leader,An individual who is the designated leader ofan investigation.,SPASE Dictionary.json,2
team member,An individual who is a major participant inan investigation.,SPASE Dictionary.json,2
technical contact,An individual who can provide specificinformation with regard to the resource or supporting software.,SPASE Dictionary.json,2
temperature,A measure of the kinetic energy of randommotion with respect to the average. Temperature is properly defined only foran equilibrium particle distribution (Maxwellian distribution).,SPASE Dictionary.json,2
tensor,"A generalized linear ""quantity"" or""geometrical entity"" that can be expressed as a multi-dimensional arrayrelative to a choice of basis of the particular space on which it isdefined.",SPASE Dictionary.json,2
thermal speed,"For a Maxwellian distribution, the differencebetween the mean speed and the speed within which ~69% (one sigma) of allthe members of the speed distribution occur.",SPASE Dictionary.json,2
topside,The region at the upper most areas of theionosphere.,SPASE Dictionary.json,2
total,The summation of quantities over all possiblespecies.,SPASE Dictionary.json,2
total pressure,In an MHD fluid it is the number density (N)times Boltzmann constant times the temperature in Kelvin.,SPASE Dictionary.json,2
trace,The sum of the elements on the main diagonal(the diagonal from the upper left to the lower right) of a square matrix.,SPASE Dictionary.json,2
uncertainty,A statistically defined discrepancy between ameasured quantity and the true value of that quantity that cannot becorrected by calculation or calibration.,SPASE Dictionary.json,2
user,An individual who utilizes a resource orservice.,SPASE Dictionary.json,2
variance,A measure of dispersion of a set of datapoints around their mean value. The expectation value of the squareddeviations from the mean.,SPASE Dictionary.json,2
vector,"A set of parameter values each along someindependent variable (e.g., components of a field in three orthogonalspatial directions; atmospheric temperature values at several altitudes, orat a given latitude and longitude;).",SPASE Dictionary.json,2
velocity,"Rate of change of position. Also used for theaverage velocity of a collection of particles, also referred to as ""bulkvelocity"".",SPASE Dictionary.json,2
version,"Indicates the release identifier. When usedto indicate the release of the SPASE data model, it is a in the formMajor.Minor.Fix where Major: A significant change in the architecture of themodel or rewrite of the implementation. This includes major changes indesign or implementation language. This number starts at 0 (zero). Minor: Anaddition of terms or features that require changes in documentation/externalAPI. This number starts at 0 (zero). Fix: Any change that doesn't requiredocumentation/external API changes. This number starts at 0 (zero).",SPASE Dictionary.json,2
vertical,Perpendicular to the plane of the horizon ora base line.,SPASE Dictionary.json,2
wave form,Spatial or temporal variations of waveamplitude over wave-period timescales.,SPASE Dictionary.json,2
wave type,A characterization of the carrier orphenomenon of wave information observed by the measurement.,SPASE Dictionary.json,2
weak,Slightly likely given the available evidence.Considered in the range of 1-4 on a scale of 0-10.,SPASE Dictionary.json,2
wgs84,"The World Geodetic System (WGS) defines areference frame for the earth, for use in geodesy and navigation. The WGS84uses the zero meridian as defined by the Bureau International de l'Heure.",SPASE Dictionary.json,2
geomagnetically induced current,"The magnetic fluctuations caused by a geomagnetic storm in Earth's magnetosphere, can cause electric currents to form currents on Earth. These geomagnetically induced currents, or GICs, can overload circuits, tipakers, and in extreme cases destroy transformers.",NASA Heliophysics Vocabulary.json,2
magnetic reconnection,"The source of many of the energetic events on the sun and in the magnetosphere, from solar flares and coronal mass ejections to the aurora. Magnetic reconnection occurs when magnetic field lines cross,ak apart, and then reconnect in a new alignment, rebounding explosively into new positions, providing huge amounts of energy.",NASA Heliophysics Vocabulary.json,2
radiative zone,"In the radiative zone, energy from the core slowly travels outward. This region is so dense that the Sun's energy takes about 150,000 years to work its way through.",NASA Heliophysics Vocabulary.json,2
solar cycle,"The sun goes through 11-year variations or cycles of high and low activity - solar flares and coronal mass ejections, for example, based on the regular increase and decrease of sunspots. Cycles as short as 9 years and as long as 14 years have also been observed. The cycle is caused by the fact that the sun's magnetic north and south poles flip every 11 years.",NASA Heliophysics Vocabulary.json,2
aa index,"A daily and half-daily index of geomagnetic activity determined from the k indices scaled at two nearly antipodal stations at invariant magnetic latitude 50 degrees (Hartland, England, and Canberra, Australia). The aa values are in units of 1 nT. The index is available back to 1868, and is provided by the Institut du Globe de Paris, France.",Space Weather Glossary.json,2
ak index,"A 3-hourly ”equivalent amplitude” index of geomagnetic activity for a specific station or network of stations (represented generically here by k) expressing the range of disturbance in the horizontal magnetic field. ”ak” is scaled from the 3-hourly K index according to the following table:
K
0
1
2
3
4
5
6
7
8
9
ak
0
3
7
15
27
48
80
140
240
400
At NOAA these values are used directly for operational purposes. But to convert the ak values to nanoteslas (nT), a local (station-dependent) conversion factor must be found by dividing the station’s lower limit for K=9 by 250. For example, at Boulder and Fredericksburg the lower limit for K=9 is 500 nT so the factor is 2; therefore the ak values for these stations are in units of 2 nT. (To obtain an equivalent amplitude in nanotesla for Boulder or Fredericksburg, the index value must be doubled.)",Space Weather Glossary.json,2
ak index,A daily index of geomagnetic activity for a specific station or network of stations (represented generically here by k) derived as the average of the eight 3-hourly ak indices.,Space Weather Glossary.json,2
alfven wave,A transverse wave in magnetized plasma characterized by a change of direction of the magnetic field (rather than a change of intensity).,Space Weather Glossary.json,2
am index,"A mean, 3-hourly ”equivalent amplitude” of geomagnetic activity based on standardized K index data from a global network of 23 Northern and Southern Hemisphere stations by the lnstitut de Physique du Globe de Paris, France; am values are given in units of 1 nT.",Space Weather Glossary.json,2
am index,The daily Ak index determined from the eight daily am indexes.,Space Weather Glossary.json,2
ap index,"A mean, 3-hourly ”equivalent amplitude” of magnetic activity based on K index data from a planetary network of 11 Northern and 2 Southern Hemisphere magnetic observatories between the geomagnetic latitudes of 46° and 6° by the lnstitut fur Geophysik at Gottingen, Germany; ap values are given in units of 2 nT.",Space Weather Glossary.json,2
ap index,"Formally determined from the eight daily ap indices. However, for daily operational uses, NOAA/SWPC estimates the value of the Ap index by measuring the geomagnetic field in near-real time at several magnetometer stations around the world. The real-time station indices are used to estimate the official Kp and Ap based on historical data. The value of this estimated Ap index is reported in NOAA daily and weekly summaries of geophysical activity.",Space Weather Glossary.json,2
apogee,That point on the path of an Earth-orbiting satellite most distant from the center of the Earth. Compare perigee.,Space Weather Glossary.json,2
au,"The mean distance between the Earth and Sun equal to 1.496 x10""m",Space Weather Glossary.json,2
bartels’ rotation number,"The serial number assigned to 27-day rotation periods of solar and geophysical parameters. Rotation 1 in this sequence was assigned arbitrarily by Bartels to begin in January 1833, and the count has continued by 27-day intervals to the present.  The Sun has an average rotation period (as seen from the Earth) of 27.27 days.  Therefore, solar longitude slowly drifts with respect to the Bartels rate. Compare Carrington longitude.",Space Weather Glossary.json,2
burst,"A transient enhancement of the solar radio emission, usually associated with an active region or flare.",Space Weather Glossary.json,2
carrington longitude,A system of fixed solar longitudes rotating at a uniform synodic period of 27.2753 days (a sidereal period of 25.38 days). Carrington selected the meridian that passed through the ascending node of the Sun’s equator at 1200 UTC on 1 January 1854 as the original prime meridian. The daily Carrington longitude of the central point of the apparent solar disk is listed (with other solar coordinates) in The Astronomical Almanac published annually by the U.S. Naval Observatory. Compare Bartels’ rotation number.,Space Weather Glossary.json,2
celestial equator,The projection of Earth’s geographic equator onto the celestial sphere.,Space Weather Glossary.json,2
celestial sphere,An imaginary rotating spherical shell around the Earth and concentric with it.,Space Weather Glossary.json,2
convection,"The bulk transport of plasma (or gas) from one place to another, in response to mechanical forces (for example, viscous interaction with the solar wind) or electromagnetic forces.",Space Weather Glossary.json,2
coronal rain,Material condensing in the corona and appearing to rain down into the chromosphere as observed in H-alpha at the solar limb.  Rarely observed and usually seen following the impulsive phase of a large limb flare.,Space Weather Glossary.json,2
cosmic noise,The broad spectrum of radio noise arriving at the Earth from sources outside the solar system.,Space Weather Glossary.json,2
cosmic ray,"An extremely energetic and relativistic charged particle.  Galactic Cosmic Rays originate from outside the solar system and the Sun can produce ""cosmic rays"" during energetic proton events.",Space Weather Glossary.json,2
cusp,"In the magnetosphere, two regions near magnetic local noon and approximately 15 degrees of latitude equatorward of the north and the south magnetic poles. The cusps mark the division between geomagnetic field lines on the sunward side (which are approximately dipolar but somewhat compressed by the solar wind) and the field lines in the polar cap that are swept back into the magnetotail by the solar wind.",Space Weather Glossary.json,2
dip,The geomagnetic inclination angle. See geomagnetic elements.,Space Weather Glossary.json,2
doppler shift,A change in the perceived frequency of a radiated signal caused by motion of the source relative to the observer.,Space Weather Glossary.json,2
dynamic pressure,The momentum flux (P) of the solar wind.  P=density x V2 where density is in particles/cm E3 and V in in km/s.,Space Weather Glossary.json,2
eclipse,"The obscuring of one celestial body by another. (1) A Solar Eclipse occurs when the moon comes between the Earth and the Sun. In a total eclipse, the solar disk is completely obscured; in a partial eclipse the solar disk is only partly obscured: (2) A lunar eclipse occurs when the moon enters the shadow cast by the Earth:  (3) Spacecraft in the Earth’s shadow are said to be in eclipse.",Space Weather Glossary.json,2
eruptive,"With regard to solar flare predictions, a probability of >50% that an active region will produce C class x-ray flares. (See x-ray flare class.)",Space Weather Glossary.json,2
extreme ultraviolet,A portion of the electromagnetic spectrum from approximately 10 to 100 nm.,Space Weather Glossary.json,2
filament,A mass of gas suspended over the chromosphere by magnetic fields and seen as dark ribbons threaded over the solar disk. A filament on the limb of the Sun seen in emission against the dark sky is called a prominence.,Space Weather Glossary.json,2
geomagnetic activity,"Natural variations in the geomagnetic field classified quantitatively into quiet, unsettled, active, and geomagnetic storm levels according to the observed a index:
quiet
   0 - 7
unsettled  
  8 - 15
active
 16 - 29
minor storm
 30 - 49
major storm
 50 - 99
severe storm
100 - 400",Space Weather Glossary.json,2
geomagnetically induced current,A quasi-DC current induced into long conductors such as electrical transmission lines or pipe lines.  This occurs during geomagnetic storms at the Earth due to the movement of the field lines in the vicinity of the conductors.,Space Weather Glossary.json,2
geosynchronous,"Term applied to any equatorial satellite with an orbital velocity equal to the rotational velocity of the Earth. The geosynchronous altitude is near 6.6 Earth radii (approximately 36,000 km above the Earth’s surface). To be geostationary as well, the satellite must satisfy the additional restriction that its orbital inclination be exactly zero degrees. The net effect is that a geostationary satellite is virtually motionless with respect to an observer on the ground.",Space Weather Glossary.json,2
gps,Global Positioning System: a network of Earth-orbiting satellites used for precise position-finding in surveying and navigation.,Space Weather Glossary.json,2
granulation,"Cellular structure of the photosphere visible at high spatial resolution. Individual granules, which represent the tops of small convection cells, are 200 to 2000 km in diameter and have lifetimes of 8 to 10 minutes.",Space Weather Glossary.json,2
halo cme,"A faint ring of enhanced emission seen around most or all of the edge of the occulting disk of a coronagraph.  Indicative of a spatially large CME on the front side (Earthward) or back side of the Sun.  The source region is usually nearer to solar central meridian than the limbs. Full halo CMEs from the front side of the Sun almost always result in geomagnetic storms at Earth, especially when accompanied by a solar proton event.",Space Weather Glossary.json,2
high frequency,That portion of the radio frequency spectrum between 3 and 30 MHz.,Space Weather Glossary.json,2
high latitude,"With reference to zones of geomagnetic activity - 50 to 80 degrees geomagnetic latitude. The other zones are equatorial, middle latitude, and polar.",Space Weather Glossary.json,2
homologous flares,A feature of the solar wind having velocities exceeding approximately 600 km/s (about double average solar wind values). High-speed streams that originate in coronal holes are less dense than those originating in the average solar wind.,Space Weather Glossary.json,2
homologous flares,Solar flares that occur repetitively in an active region with essentially the same position and with a common pattern of development.,Space Weather Glossary.json,2
interplanetary medium,"The space between planets and other solid bodies in the heliosphere.  Populated by solar and cosmic particles, magnetic fields, and photons.",Space Weather Glossary.json,2
ionospheric storm,"A disturbance in the F region of the ionosphere, which occurs in connection with geomagnetic activity. In general, there are two phases of an ionospheric storm, an initial increase in electron density (the positive phase) lasting a few hours, followed by a decrease lasting a few days.  At low latitudes only the positive phase is usually seen. Individual storms can vary, and their behavior depends on geomagnetic latitude, season, and local time.",Space Weather Glossary.json,2
l1,Lagrangian orbit number 1.  A location on the Earth/ Sun line where gravitational forces can be balanced to maintain a stable orbit.  Approximately  1.5 million km upstream of the Earth.  Solar wind monitors located there allow a 20-60 minute (depending on solar wind velocity) warning of geomagnetic disturbances at Earth.,Space Weather Glossary.json,2
lobes,"In the magnetotail, the two regions (north and south) separated by the neutral sheet.",Space Weather Glossary.json,2
long duration event,"With reference to x-ray events, those events that are not impulsive in appearance. The exact time threshold separating impulsive from long-duration events is not well defined, but operationally, any event requiring 30 minutes or more to decay to one-half peak flux is regarded as an LDE. It has been shown that the likelihood of a coronal mass ejection increases with the duration of an x-ray event, and becomes virtually certain for durations of 6 hours or more.",Space Weather Glossary.json,2
low frequency,That portion of the radio frequency spectrum from 30 to 300 kHz.,Space Weather Glossary.json,2
lowest usable frequency,The lowest frequency that allows reliable long-range HF radio communication by ionospheric refraction.,Space Weather Glossary.json,2
microwaves,"Generically, any radio frequency of 500 MHz or more.",Space Weather Glossary.json,2
perigee,That point on the orbit of an Earth-orbiting satellite nearest to the Earth. Compare apogee.,Space Weather Glossary.json,2
pore,"A feature in the photosphere, 1 to 3 arc seconds in extent, usually not much darker than the dark spaces between photospheric granules. It is distinguished from a sunspot by its short lifetime, 10 to 100 minutes.",Space Weather Glossary.json,2
quiet,A descriptive word specifically meaning (1) a probability of less than 50% for a C-class flare (see x-ray flare class) in a sunspot region and (2) geomagnetic activity levels such that Ak < 8.,Space Weather Glossary.json,2
scintillation,"Describing a degraded condition of radio propagation characterized by a rapid variation in amplitude and/or phase of a radio signal (usually on a satellite communication link) caused by abrupt variations in electron density anywhere along the signal path. It is positively correlated with spread F and to a lesser degree, sporadic E.  Scintillation effects are the most severe at low latitudes, but can also be a problem at high latitudes, especially in the auroral oval and over the polar caps.",Space Weather Glossary.json,2
shock,"A discontinuity in pressure, density, and particle velocity, propagating through a compressible fluid or plasma.",Space Weather Glossary.json,2
sidereal,Referring to a coordinate system fixed with respect to the distant stars.,Space Weather Glossary.json,2
spray,Luminous material ejected from a solar flare with sufficient velocity to escape the Sun (675 km/s). Sprays are usually seen in H-alpha with complex and rapidly changing form. There is little evidence that sprays are focused by magnetic fields.,Space Weather Glossary.json,2
surge,"A jet of material from active regions that reaches coronal heights and then either fades or returns into the chromosphere along the trajectory of ascent. Surges typically last 10 to 20 minutes and tend to recur at a rate of approximately 1 per hour. Surges are linear and collimated in form, as if highly directed by magnetic fields.",Space Weather Glossary.json,2
synodic,Referring to a coordinate system fixed on the Earth.,Space Weather Glossary.json,2
total electron content,"The number of electrons along a ray path between a transmitter and a receiver. Units are electrons per square meter. This number is significant in determining ionospheric effects such as refraction, dispersion, and group delay on radio waves, and can be used to estimate critical frequencies. The TEC is strongly affected by solar and geomagnetic activity.",Space Weather Glossary.json,2
unipolar magnetic region,"A large-scale photospheric region where the magnetic elements are predominantly of one polarity (for example, the solar polar regions)",Space Weather Glossary.json,2
universal time,A shortened form of the more correct Coordinated Universal Time (UTC).,Space Weather Glossary.json,2
vernal equinox,The equinox that occurs in March. Compare autumnal equinox.,Space Weather Glossary.json,2
x-ray,Radiation of extremely short wavelength (generally less than 1 nm).,Space Weather Glossary.json,2
x-ray background,A daily average background x-ray flux in the 0.1 to 0.8 nm range. It is a midday minimum given in terms of x-ray flare class.,Space Weather Glossary.json,2
x-ray burst,A temporary enhancement of the x-ray emission of the Sun. The time-intensity profile of soft x-ray bursts is similar to that of the H-alpha profile of an associated flare.,Space Weather Glossary.json,2
zeeman effect,"The splitting of some solar spectral emission lines due to the presence of a strong magnetic field. Briefly, the lines split into three or more components of characteristic polarization.  The components are circular if the local magnetic field is parallel to the line of sight, and linear if the field is perpendicular to the line of sight. The amount of splitting is proportional to the strength of the field.",Space Weather Glossary.json,2
aa index,,Space Weather Glossary (Second).json,2
bartels’ rotation number,,Space Weather Glossary (Second).json,2
burst,,Space Weather Glossary (Second).json,2
carrington longitude,,Space Weather Glossary (Second).json,2
coronal holes,,Space Weather Glossary (Second).json,2
dynamo,,Space Weather Glossary (Second).json,2
electromagnetic radiation,,Space Weather Glossary (Second).json,2
geomagnetic activity,,Space Weather Glossary (Second).json,2
ionospheric storm,,Space Weather Glossary (Second).json,2
kinetic temperature,,Space Weather Glossary (Second).json,2
long duration event,,Space Weather Glossary (Second).json,2
lowest usable frequency,,Space Weather Glossary (Second).json,2
microwaves,,Space Weather Glossary (Second).json,2
network,,Space Weather Glossary (Second).json,2
plasma sheet,,Space Weather Glossary (Second).json,2
polar caps,,Space Weather Glossary (Second).json,2
scattering,,Space Weather Glossary (Second).json,2
shock wave,,Space Weather Glossary (Second).json,2
