"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"convection","4","5","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary","In general, mass motions within a fluid resulting in transport and mixing of the properties of that fluid. Convection, along with conduction and radiation, is a principal means of energy transfer. ;; The bulk transport of plasma (or gas) from one place to another, in response to mechanical forces (for example, viscous interaction with the solar wind) or electromagnetic forces. ;; In meteorology, atmospheric (wind) motions that are predominently vertical, resulting in vertical transport and mixing of atmospheric properties. ;; Convection is energy transfer through motion of within the fluid resultingin transport and mixing of the properties of the fluid. Inoceanography, convection plays a role in the transfer of heat away fromthe ocean. As the air near the warm sea surface gets heated, it expandsand rises, carrying the heat away. In physical oceanography, the sinkingof surface waters to form deep water masses, a process of fundamentalimportance for ocean climate and the maintenance of a stably stratifiedworld ocean. There are two main types of deep convection, the physics ofwhich are very different. The first is convection near an open boundary,which involves the formation of a dense water mass which reaches thebottom of the ocean by descending a continental slope. The second type isopen-ocean deep convection, where the sinking occurs far from land and ispredominantly vertical. ;; The circulatory vertical motion in a fluid medium (ocean water) owing tothe variation of its density and the action of gravity.","['convection', 'CONVECTION', 'EARTH SCIENCE -> OCEANS -> OCEAN HEAT BUDGET -> CONVECTION', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> CONVECTION', 'EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> CONVECTION']"
"transportation","4","2","GCMD | GEMET | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","The roads and equipment necessary for the movement of goods or passengers. ;; The act or means of moving tangible objects (persons or goods) from place to place. Often involves the use of some type of vehicle.","['transportation', 'TRANSPORTATION', 'EARTH SCIENCE -> HUMAN DIMENSIONS -> INFRASTRUCTURE -> TRANSPORTATION']"
"auroral region","4","2","HELIO Ontology | NASA CCMC | SPASE Dictionary | Unified Astronomy Thesaurus (UAT)","oval-shaped, high-latitude zone centered on the geomagnetic pole, in which aurora are most visible. ;; The region in the atmospheric whereelectrically-charged particles bombarding the upper atmosphere of a planetin the presence of a magnetic field produce an optical phenomenon.","['AuroralRegion', 'auroral region', 'Heliophysics -> Solar-planetary interactions -> Planetary ionospheres -> Earth ionosphere -> Auroral region']"
"wave","4","2","HELIO Ontology | SPASE Dictionary | SWEET | Semantic Web for Earth and Environment Technology Ontology","Data resulting from observations of wave experiments and natural wave phenomena. Wave experiments are typically active and natural wave phenomena are passive. Examples of wave experiments include coherent/incoherent scatter radars, radio soundings, VLF propagation studies, ionospheric scintillation of beacon satellite signals, etc. Examples of natural wave phenomena include micropulsations, mesospheric gravity waves, auroral/plasmaspheric hiss, Langmuir waves, AKR, Jovian decametric radiation, solar radio bursts, etc. ;; Periodic or quasi-periodic (AC) variations ofphysical quantities in time and space, capable of propagating or beingtrapped within particular regimes.","['Wave', 'wave', 'Oscillation -> wave']"
"north atlantic oscillation","3","2","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","The North Atlantic Oscillation (NAO) index is often defined as the difference of sea-level pressure between 2 stations situated close to the centres of action over Iceland and the Azores. Stykkisholmur (Iceland) is invariably used as the northern station, whereas either; Ponta Delgada (Azores) Lisbon (Portugal) Gibraltar are used as the southern station. Strong positive phases of the NAO tend to be associated with above-normal temperatures in the eastern United States and across northern Europe and below-normal temperatures in Greenland and oftentimes across southern Europe and the Middle East. They are also associated with above-normal precipitation over northern Europe and Scandinavia and below-normal precipitation over southern and central Europe. Opposite patterns of temperature and precipitation anomalies are typically observed during strong negative phases of the NAO. During particularly prolonged periods dominated by one particular phase of the NAO, abnormal height and temperature patterns are also often seen extending well into central Russia and north-central Siberia. ;; The North Atlantic Oscillation (NAO) index is often defined as the difference of sea-level pressure between 2 stations situated close to the 'centres of action' over Iceland and the Azores. Stykkisholmur (Iceland) is invariably used as the northern station, whereas either; Ponta Delgada (Azores) Lisbon (Portugal) Gibraltar are used as the southern station. Strong positive phases of the NAO tend to be associated with above-normal temperatures in the eastern United States and across northern Europe and below-normal temperatures in Greenland and oftentimes across southern Europe and the Middle East. They are also associated with above-normal precipitation over northern Europe and Scandinavia and below-normal precipitation over southern and central Europe. Opposite patterns of temperature and precipitation anomalies are typically observed during strong negative phases of the NAO. During particularly prolonged periods dominated by one particular phase of the NAO, abnormal height and temperature patterns are also often seen extending well into central Russia and north-central Siberia.","['north atlantic oscillation', 'NORTH ATLANTIC OSCILLATION', 'EARTH SCIENCE -> CLIMATE INDICATORS -> ATMOSPHERIC/OCEAN INDICATORS -> TELECONNECTIONS -> NORTH ATLANTIC OSCILLATION']"
"ionizing radiation","3","1","NASA CCMC | SWEET | Semantic Web for Earth and Environment Technology Ontology","either energetic charged particles (usually electrons or protons) or photon radiation (UV or X-Rays) that can damage molecular structures such as DNA and spacecraft electronics","['ionizing radiation', 'Process -> physical process -> radiative transfer -> radiation -> ionizing radiation']"
"wind","3","1","GEMET | Global Change Master Directory (GCMD) | HELIO Ontology","The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.","['Wind', 'WIND', 'wind']"
"wind chill","3","2","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","A figure used to express the cooling effect of the combination of particular temperatures and air speed on exposed human skin. ;; A figure used to express the cooling effect of the combination ofparticular temperatures and air speed on exposed human skin.","['wind chill', 'WIND CHILL', 'EARTH SCIENCE -> OCEANS -> OCEAN WINDS -> WIND CHILL']"
"wind chill index","3","2","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","A means of quantifying the threat of rapid cooling during breezy or windy conditions that may result in hypothermia in cold conditions. ;; A means of quantifying the threat of rapid cooling during breezy or windy conditions that may result in hypothermia in cold conditions.The index is used to remind the public to minimize exposure when outdoors and to take precautionary actions.","['wind chill index', 'WIND CHILL INDEX', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> ATMOSPHERIC TEMPERATURE INDICES -> WIND CHILL INDEX']"
"radio wave","3","1","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Radio waves are that portion of the electromagnetic spectrum having wavelengths longer than about 10 cm.","['radio wave', 'RADIO WAVE', 'EARTH SCIENCE -> SPECTRAL/ENGINEERING -> RADIO WAVE']"
