subject_id,predicate_id,object_id,mapping_justification,confidence,term
AGU Index Terms:atmospheric electricity,skos:exactMatch,GCMD:atmospheric electricity,lexical_identity_same_normalized_term,0.6,atmospheric electricity
GCMD:atmospheric ozone,skos:exactMatch,GEMET:atmospheric ozone,lexical_identity_same_normalized_term,0.6,atmospheric ozone
HELIO Ontology:atom,skos:exactMatch,SPASE Dictionary:atom,lexical_identity_same_normalized_term,0.6,atom
HELIO Ontology:atom,skos:exactMatch,SWEET:atom,lexical_identity_same_normalized_term,0.6,atom
SPASE Dictionary:atom,skos:exactMatch,SWEET:atom,lexical_identity_same_normalized_term,0.6,atom
NASA CCMC:au,skos:exactMatch,Space Weather Glossary:au,lexical_identity_same_normalized_term,0.6,au
HELIO Ontology:aurora,skos:exactMatch,NASA CCMC:aurora,lexical_identity_same_normalized_term,0.6,aurora
HELIO Ontology:aurora,skos:exactMatch,NASA Heliophysics Vocabulary:aurora,lexical_identity_same_normalized_term,0.6,aurora
HELIO Ontology:aurora,skos:exactMatch,SPASE Dictionary:aurora,lexical_identity_same_normalized_term,0.6,aurora
HELIO Ontology:aurora,skos:exactMatch,SWEET:aurora,lexical_identity_same_normalized_term,0.6,aurora
HELIO Ontology:aurora,skos:exactMatch,Space Weather Glossary:aurora,lexical_identity_same_normalized_term,0.6,aurora
HELIO Ontology:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA CCMC:aurora,skos:exactMatch,NASA Heliophysics Vocabulary:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA CCMC:aurora,skos:exactMatch,SPASE Dictionary:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA CCMC:aurora,skos:exactMatch,SWEET:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA CCMC:aurora,skos:exactMatch,Space Weather Glossary:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA CCMC:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA Heliophysics Vocabulary:aurora,skos:exactMatch,SPASE Dictionary:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA Heliophysics Vocabulary:aurora,skos:exactMatch,SWEET:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA Heliophysics Vocabulary:aurora,skos:exactMatch,Space Weather Glossary:aurora,lexical_identity_same_normalized_term,0.6,aurora
NASA Heliophysics Vocabulary:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
SPASE Dictionary:aurora,skos:exactMatch,SWEET:aurora,lexical_identity_same_normalized_term,0.6,aurora
SPASE Dictionary:aurora,skos:exactMatch,Space Weather Glossary:aurora,lexical_identity_same_normalized_term,0.6,aurora
SPASE Dictionary:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
SWEET:aurora,skos:exactMatch,Space Weather Glossary:aurora,lexical_identity_same_normalized_term,0.6,aurora
SWEET:aurora,skos:exactMatch,Space Weather Glossary (Second):aurora,lexical_identity_same_normalized_term,0.6,aurora
